n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.06872655366259943,0.6263011792313564
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.07011406538136819,0.6389454947011587
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.029104148342771002,0.38175334290192625
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.028912611178768206,0.3792409879006096
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05803987911418353,0.5263202960399636
150,0.5565914482956887,0.5913146539493707,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.0571037341107531,0.517831096495414
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.07144409079398704,0.7445336580713923
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.07315623029663082,0.7623762182168871
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.038731755709369105,0.49458179139725816
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04106944031828617,0.5244326520263394
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06709987764879333,0.5468429484329644
150,0.5565914482956887,0.5913146539493707,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06576176057266347,0.5359377141329954
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.058863509291277566,0.5364198161864976
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.06089689087774239,0.5549499070693069
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030043728757480202,0.39407763289715325
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.029294151486359422,0.3842455764616404
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.053503765731804084,0.48518567317853595
125,0.5225237591756487,0.5483943835941277,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05299069148442726,0.4805329862003534
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.0644239334618682,0.671375145440995
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06467158548277376,0.673955978411286
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.03721275196904658,0.47518500503246863
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.041098585836203336,0.5248048231866359
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06686283457049595,0.5449111217235294
125,0.5225237591756487,0.5483943835941277,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.0668297440444596,0.5446414443193822
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.059203884388683105,0.5395216351127401
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.062092718713379645,0.565847418201527
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.0303788061423965,0.3984727765143484
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.029089344522537062,0.38155916412729013
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.055177267108743246,0.5003614067185919
100,0.5282047624553424,0.55326632049712,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05387945577487085,0.48859252546189713
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.06320514284210614,0.658673876120189
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06426321763954598,0.6697002925906934
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.0378279683601945,0.4830409573191163
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04270694165915327,0.5453425832119675
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06818639828577311,0.5556977506990602
100,0.5282047624553424,0.55326632049712,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06768932549038287,0.5516467633866876
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.05994685426696908,0.5462922774060858
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.061016867789368275,0.5560432498491693
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.030932588920849685,0.405736635412612
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.029942169055773616,0.392745494427613
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05679035200584844,0.5149892683464864
80,0.5310742165706387,0.5552435031696455,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.054246213600141355,0.49191837813625555
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.0653160872215538,0.6806724644337754
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06258994588511575,0.6522627812944012
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.038404034963422484,0.49039698978835206
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04219261640898687,0.5387749515895618
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06769389966698408,0.5516840414907157
80,0.5310742165706387,0.5552435031696455,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06765586448260985,0.5513740666726353
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.059662361727932996,0.5436997130596244
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.059201962043509845,0.539504116890383
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.031318719362758506,0.41080143185533297
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_1_beta_0.2,2021,['Quinault'],0.2,5421,351,0.030549235021384676,0.40070825832658036
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_3_beta_0,2021,"['Darrington', 'Spokane']",0.0,4305,665,0.05646069478887545,0.5119998533670445
65,0.5267721607021273,0.5486677971737686,outer_year_2021_stations_3_beta_0.2,2021,"['Darrington', 'Spokane']",0.2,4305,665,0.05460344468656039,0.4951578399343901
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_0_beta_0,2022,['SourdoughGulch_WA_985'],0.0,5407,364,0.0638864966861835,0.6657744055598417
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_0_beta_0.2,2022,['SourdoughGulch_WA_985'],0.2,5407,364,0.06026782426256555,0.6280634712197675
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_1_beta_0,2022,['Quinault'],0.0,5421,362,0.038177509030563835,0.48750438655828304
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_1_beta_0.2,2022,['Quinault'],0.2,5421,362,0.04235458332550145,0.5408431740661768
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_3_beta_0,2022,"['Darrington', 'Spokane']",0.0,4305,613,0.06723716630431169,0.5479618078974036
65,0.5267721607021273,0.5486677971737686,outer_year_2022_stations_3_beta_0.2,2022,"['Darrington', 'Spokane']",0.2,4305,613,0.06739492229124572,0.5492474696907005
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_0_beta_0,2021,['SourdoughGulch_WA_985'],0.0,5407,365,0.04796866337428601,0.43713570427170173
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_0_beta_0.2,2021,['SourdoughGulch_WA_985'],0.2,5407,365,0.048945847844678626,0.4460407308373874
50,0.4974241790278649,0.5141150062837108,outer_year_2021_stations_1_beta_0,2021,['Quinault'],0.0,5421,351,0.03076530461638013,0.40354240036081956
