model_id,seed,split,effect_label,dataset,window,reference_config_id,rmse_original,rmse_no_smap,rmse_change_no_smap_minus_original,rmse_change_abs,rmse_change_pct_no_smap_vs_original,effect_rmse,effect_rmse_pct,improved,worsened,rmse_original,rmse_no_smap,rmse_change,mae_original,mae_no_smap,mae_change,bias_original,bias_no_smap,bias_change,ubrmse_original,ubrmse_no_smap,ubrmse_change,r2_original,r2_no_smap,r2_change,pearson_original,pearson_no_smap,pearson_change,diff_pearson_original,diff_pearson_no_smap,diff_pearson_change
Clustering_Backbone54_k2_no_smap,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0573423315103404,0.13792178683371145,0.08057945532337105,0.08057945532337105,140.52350715603595,-0.08057945532337105,-140.52350715603595,False,True,0.0573423315103404,0.13792178683371145,0.08057945532337105,0.0497668237726701,0.12969104841029686,0.07992422463762675,0.0280738954208624,0.1295252456844551,0.10145135026359269,0.0499999937894021,0.04738807881509111,-0.002611914974310986,-0.48542683777935,-7.593425610987284,-7.1079987732079335,0.1098316296049818,0.06592810161199823,-0.04390352799298357,,-0.03537082915704507,
Clustering_Backbone54_k2_no_smap,42,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Backbone54_k2_c0_0_c1_0,0.0439089532214443,0.07234029016241537,0.028431336940971073,0.028431336940971073,64.75065984284441,0.028431336940971073,64.75065984284441,False,True,0.0439089532214443,0.07234029016241537,0.028431336940971073,0.0337801277546183,0.059007028135252146,0.025226900380633847,0.0057639884922439,0.009755576447489723,0.003991587955245822,0.0435289858561426,0.07167946922905913,0.028150483372916528,0.8142048107221804,0.49570020674877346,-0.31850460397340696,0.9048446516684988,0.8674126219772156,-0.03743202969128323,,0.23718667943796296,
Clustering_Dynamic_k2_no_smap,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0598591898286793,0.0820211069990112,0.022161917170331905,0.022161917170331905,37.02341651091617,-0.022161917170331905,-37.02341651091617,False,True,0.0598591898286793,0.0820211069990112,0.022161917170331905,0.0532210015960042,0.07423238566026508,0.021011384064260875,0.0266477263609713,0.06556815863457348,0.038920432273602174,0.0536005717015841,0.04927756656547331,-0.004323005136110794,-0.6186846225548344,-2.039147824955046,-1.4204632024002115,-0.1403959656603549,-0.03985727816549512,0.10053868749485978,,-0.11498674820109768,
Clustering_Dynamic_k2_no_smap,42,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Dynamic_k2_c0_0_c1_0,0.0470572646331295,0.06775806929720377,0.020700804664074264,0.020700804664074264,43.9906671700173,0.020700804664074264,43.9906671700173,False,True,0.0470572646331295,0.06775806929720377,0.020700804664074264,0.0361913220880705,0.055922738811814886,0.019731416723744385,0.0093801880817668,0.009213596722492605,-0.00016659135927419438,0.0461128856861405,0.06712872403315842,0.021015838347017923,0.786606270013708,0.5575641167828886,-0.22904215323081933,0.8921720601155031,0.8052426617967886,-0.08692939831871449,,0.18965642792374335,
Clustering_V0_Full_k2_no_smap,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_V0_Full_k2_c0_0_c1_0,0.0573423428888674,0.13762440200172138,0.08028205911285398,0.08028205911285398,140.00484645080687,-0.08028205911285398,-140.00484645080687,False,True,0.0573423428888674,0.13762440200172138,0.08028205911285398,0.0497668384982955,0.126744847431206,0.07697800893291051,0.0280739199262176,0.12510387615171104,0.09702995622549343,0.0499999930796071,0.05735412973926775,0.00735413665966065,-0.4854274272904706,-7.5564075391278624,-7.070980111837391,0.1098316041960211,-0.517716579055635,-0.6275481832516561,,-0.047000536064670785,
Clustering_V0_Full_k2_no_smap,42,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_V0_Full_k2_c0_0_c1_0,0.0438936451151031,0.07248701157366978,0.02859336645856668,0.02859336645856668,65.14238310257846,0.02859336645856668,65.14238310257846,False,True,0.0438936451151031,0.07248701157366978,0.02859336645856668,0.0337737558762832,0.05916561371345535,0.025391857837172148,0.0057493349266736,0.009636504115817015,0.0038871691891434147,0.0435154826399932,0.07184361234867842,0.028328129708685222,0.8143343367764553,0.4936524789201916,-0.3206818578562637,0.9049030688945208,0.8663811867302424,-0.03852188216427832,,0.2455757071384375,
Global_Single_54_no_smap,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Global_Single_54,0.0595053821947749,0.10161742904559422,0.04211204685081932,0.04211204685081932,70.7701476699651,-0.04211204685081932,-70.7701476699651,False,True,0.0595053821947749,0.10161742904559422,0.04211204685081932,0.0513544261023579,0.09129553786112567,0.039941111758767765,0.0164779621194504,0.08873445973601962,0.07225649761656922,0.0571783811814937,0.04952067791532228,-0.00765770326617142,-0.5996061669264132,-3.6648424201662584,-3.065236253239845,-0.0605705527081843,-0.018087351787844177,0.04248320092034012,,0.054719610727850386,
Global_Single_54_no_smap,42,WA temporal,WA degradation,wa_temporal,temporal_full,Global_Single_54,0.0478636361243758,0.0734364838136381,0.025572847689262296,0.025572847689262296,53.42855194454952,0.025572847689262296,53.42855194454952,False,True,0.0478636361243758,0.0734364838136381,0.025572847689262296,0.0370592415431565,0.059783406133810196,0.022724164590653698,0.0105483640440731,0.0107824646166804,0.00023410057260729936,0.0466868255404066,0.07264059203847918,0.02595376649807258,0.779230195195575,0.48030080267452424,-0.2989293925210508,0.8894319903189023,0.8651294774669905,-0.02430251285191176,,0.2368526601271319,
Seasonal_Binary_k2_no_smap,42,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Seasonal_Binary_k2_c0_0_c1_0,0.0584175304965368,0.07804330537971672,0.019625774883179924,0.019625774883179924,33.59569416297632,-0.019625774883179924,-33.59569416297632,False,True,0.0584175304965368,0.07804330537971672,0.019625774883179924,0.0507000711552008,0.0709076544121698,0.020207583256968996,0.0188414492786628,0.060940726755132534,0.04209927747646973,0.0552956386923361,0.04875433659837856,-0.006541302093957542,-0.5416541622549425,-1.7515149801093184,-1.209860817854376,-0.0387682594725169,-0.004370394233941523,0.034397865238575374,,0.07746694231849187,
Seasonal_Binary_k2_no_smap,42,WA temporal,WA degradation,wa_temporal,temporal_full,Seasonal_Binary_k2_c0_0_c1_0,0.0488756742809565,0.06533092192613868,0.016455247645182178,0.016455247645182178,33.667561393815205,0.016455247645182178,33.667561393815205,False,True,0.0488756742809565,0.06533092192613868,0.016455247645182178,0.0376977827784878,0.05327613154041983,0.01557834876193203,0.0104277426500334,0.010603972962732728,0.00017623031269932768,0.0477503269061356,0.06446460359860177,0.016714276692466175,0.7697954935406667,0.5886932176757875,-0.18110227586487915,0.884221724558964,0.8096072193253343,-0.07461450523362967,,0.22227655936375032,
